comment,emotion
"Que surpresa, isso foi inesperado!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, esperava algo melhor.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa louco!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, esperava algo melhor.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa louco!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, esperava algo melhor.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa louco!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, esperava algo melhor.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa louco!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, esperava algo melhor.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa furioso!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que vídeo ruim.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu coração disparou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me inspirou!","alegria"
"Que tristeza, isso me deixou pra baixo.","tristeza"
"Que coisa repugnante, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, quase caí da cadeira!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, não acredito que vi isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, meu Deus, que medo!","medo"
"Que raiva, isso é uma palhaçada!","raiva"
"Que surpresa, isso foi inesperado!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso me abalou.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso é de arrepiar!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, que momento épico!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, esperava mais.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, quase tive um ataque!","medo"
"Que raiva, isso é inadmissível!","raiva"
"Que surpresa, isso foi demais!","surpresa"
"Que vídeo maravilhoso, me deixou feliz!","alegria"
"Que tristeza, isso é de cortar o coração.","tristeza"
"Que coisa repugnante, que horror!","desgosto"
"Que medo, isso é aterrorizante!","medo"
"Que ódio, isso me deixa louco!","raiva"
"Que surpresa, que reviravolta!","surpresa"
"Que alegria, esse vídeo é perfeito!","alegria"
"Que decepção, que vídeo fraco.","tristeza"
"Que nojo, isso é nojento!","desgosto"
"Que susto, meu coração parou!","medo"
"Que raiva, isso é uma vergonha!","raiva"
"Que surpresa, isso foi épico!","surpresa"
"Que felicidade, esse vídeo é incrível!","alegria"
"Que tristeza, isso me deixou mal.","tristeza"
"Que coisa nojenta, que nojo!","desgosto"
"Que medo, isso me deu arrepios!","medo"
"Que ódio, isso é revoltante!","raiva"
"Que surpresa, não esperava por isso!","surpresa"
"Que vídeo incrível, adorei!","alegria"
"Que decepção, não gostei nada.","tristeza"
"Que nojo, isso é repulsivo!","desgosto"
"Que susto, quase derrubei o celular!","medo"
"Que raiva, isso é inaceitável!","raiva"
"Que surpresa, isso mudou tudo!","surpresa"
"Que alegria, esse vídeo é top!","alegria"
"Que tristeza, isso é muito triste.","tristeza"
"Que coisa nojenta, que horror!","desgosto"
"Que medo, isso é assustador!","medo"
"Que ódio, isso me tira do sério!","raiva"
"Que surpresa, que momento incrível!","surpresa"
"Que felicidade, esse vídeo é sensacional!","alegria"
"Que decepção, que perda de tempo.","tristeza"
"Que nojo, isso é asqueroso!","desgosto"
"Que susto, meu Deus, que medo!","medo"
